"business","ideology","age","education","laidoff","unemployed"
70,6,46,6,2,0
50,4,37,3,1,0
0,2,40,2,NA,0
85,3,41,4,2,0
0,5,72,8,NA,0
40,4,71,3,NA,0
50,4,37,4,2,0
0,NA,45,2,2,0
50,NA,70,2,NA,0
15,NA,43,4,1,0
50,NA,37,2,2,0
60,4,55,2,2,0
0,6,30,2,NA,0
0,3,38,7,1,0
70,4,41,3,1,0
50,6,66,3,2,0
40,3,54,6,2,0
40,3,55,6,2,0
50,2,62,6,NA,0
60,3,NA,2,NA,0
85,6,31,7,2,0
50,4,NA,1,NA,0
15,2,24,6,1,0
50,6,55,7,2,0
30,NA,59,1,NA,0
45,2,73,6,NA,0
60,NA,72,1,NA,0
50,5,50,6,2,0
30,5,66,8,2,0
50,4,41,2,2,0
0,NA,52,2,NA,1
40,4,45,3,1,0
15,2,46,7,1,0
70,6,66,6,2,0
35,2,60,8,2,0
70,NA,73,6,NA,0
85,NA,71,5,NA,0
10,1,28,8,2,0
15,1,73,7,NA,0
60,6,NA,6,NA,0
50,6,37,6,2,0
55,4,56,5,1,0
85,7,48,7,2,0
86,7,53,6,2,0
0,3,72,5,NA,0
50,6,55,2,2,0
40,2,79,4,NA,0
50,3,38,6,2,0
50,4,42,6,2,0
70,6,70,7,NA,0
0,4,50,4,1,0
15,2,50,7,2,0
NA,4,27,1,1,0
70,NA,62,2,NA,0
85,4,51,5,NA,0
NA,6,60,3,1,0
51,3,65,7,1,0
50,3,NA,7,2,0
60,4,48,2,2,0
30,6,55,2,2,0
30,5,54,6,2,0
35,4,38,7,2,0
40,2,NA,8,NA,0
30,2,37,7,1,0
40,2,38,6,2,0
50,4,60,4,NA,0
40,5,46,3,2,0
0,1,78,7,NA,0
30,2,39,8,1,0
15,2,33,8,1,0
50,2,74,7,NA,0
30,3,61,4,NA,0
70,NA,67,3,NA,0
30,NA,60,2,NA,0
60,6,NA,3,2,0
50,NA,21,3,1,0
60,4,49,1,1,0
3,2,NA,7,NA,0
70,4,70,3,1,0
60,5,70,2,2,0
60,5,72,6,NA,0
70,7,78,3,NA,0
70,2,43,6,2,0
60,NA,45,3,NA,0
40,3,44,6,1,0
0,4,50,4,1,0
40,4,NA,7,2,0
15,3,33,6,2,0
50,NA,55,2,2,0
50,5,28,6,2,0
100,5,34,7,2,0
50,2,24,6,2,0
50,7,26,4,1,0
40,3,75,2,1,0
60,5,61,6,NA,0
60,6,NA,7,NA,0
50,3,58,3,2,0
15,4,50,6,1,0
50,3,76,6,NA,0
60,4,NA,3,NA,0
60,2,48,2,1,0
60,3,61,2,2,0
20,2,45,7,2,0
50,6,37,4,1,0
80,6,36,6,2,0
40,2,NA,1,NA,0
100,7,66,2,1,0
50,5,NA,2,NA,0
40,6,66,5,NA,0
20,4,60,3,2,0
70,6,34,NA,2,0
30,6,NA,8,NA,0
60,4,71,2,NA,0
15,6,72,3,2,0
15,3,57,6,1,0
70,4,36,7,2,0
15,4,61,5,2,0
85,6,58,7,2,0
60,NA,30,3,2,0
60,6,NA,7,NA,0
60,6,NA,7,2,0
50,NA,72,3,NA,0
NA,1,38,1,1,0
50,NA,60,3,NA,0
100,5,52,2,2,0
50,4,40,2,2,0
85,2,23,6,1,0
50,6,54,2,2,0
30,3,70,7,NA,0
50,NA,23,3,1,0
25,2,66,8,2,0
NA,6,60,3,2,0
70,6,50,6,2,0
85,6,62,6,2,0
15,2,37,8,2,0
60,6,73,2,2,0
50,5,52,6,2,0
70,7,76,7,NA,0
30,5,73,3,NA,0
40,3,42,6,2,0
50,4,67,2,2,0
50,4,64,4,2,0
60,NA,55,4,2,0
40,2,29,7,2,0
70,6,34,3,2,0
65,4,45,7,2,0
50,1,40,8,2,0
NA,4,28,3,2,0
60,4,49,3,2,0
60,2,37,7,2,0
85,6,NA,3,NA,0
NA,3,55,2,2,0
50,3,NA,1,NA,0
NA,NA,63,6,NA,0
65,6,66,3,NA,0
50,5,55,6,NA,1
50,6,65,3,2,0
70,2,69,7,NA,0
30,7,70,2,2,0
70,NA,64,2,NA,0
60,7,62,2,2,0
75,6,50,7,2,0
100,NA,46,2,NA,0
70,2,67,NA,NA,0
NA,2,43,4,1,0
30,2,30,6,2,0
NA,6,NA,2,NA,0
15,4,58,2,NA,0
50,4,29,3,2,0
